OID,Numeric OID,YANG Xpath,YANG Module
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepCcmSequenceErrors,.1.3.111.2.802.1.1.8.1.7.1.1.17,/cfm-statistics/cfm-meps/cfm-mep/ccm-seq-errors,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepCciSentCcms,.1.3.111.2.802.1.1.8.1.7.1.1.18,/cfm-statistics/cfm-meps/cfm-mep/ccm-transmitted,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepLbrInOutOfOrder,.1.3.111.2.802.1.1.8.1.7.1.1.21,/cfm-statistics/cfm-meps/cfm-mep/lbr-received-bad,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepLbrIn,.1.3.111.2.802.1.1.8.1.7.1.1.20,/cfm-statistics/cfm-meps/cfm-mep/lbr-received-ok,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepLbrOut,.1.3.111.2.802.1.1.8.1.7.1.1.25,/cfm-statistics/cfm-meps/cfm-mep/lbr-transmitted,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepUnexpLtrIn,.1.3.111.2.802.1.1.8.1.7.1.1.24,/cfm-statistics/cfm-meps/cfm-mep/ltr-unexpected,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmStack.ieee8021CfmStackTable.ieee8021CfmStackEntry.ieee8021CfmStackMepId,.1.3.111.2.802.1.1.8.1.1.2.1.8,/cfm-statistics/cfm-meps/cfm-mep/mpid,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepActive,.1.3.111.2.802.1.1.8.1.7.1.1.5,/cfm-statistics/local-mep/ccm-state,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmMep.dot1agCfmMepTable.dot1agCfmMepEntry.dot1agCfmMepDirection,.1.3.111.2.802.1.1.8.1.7.1.1.3,/cfm-statistics/local-mep/dir,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmStack.ieee8021CfmStackTable.ieee8021CfmStackEntry.ieee8021CfmStackMacAddress,.1.3.111.2.802.1.1.8.1.1.2.1.9,/cfm-statistics/local-mep/mac-addr,Cisco-IOS-XE-cfm-oper
.iso.org.ieee.standards-association-numbered-series-standards.lan-man-stds.ieee802dot1.ieee802dot1mibs.ieee8021CfmMib.dot1agMIBObjects.dot1agCfmStack.ieee8021CfmStackTable.ieee8021CfmStackEntry.ieee8021CfmStackMepId,.1.3.111.2.802.1.1.8.1.1.2.1.8,/cfm-statistics/local-mep/mep-id,Cisco-IOS-XE-cfm-oper
